Time,Step,Value
0.00024700164794921875,0,0.1358
7.508028030395508,20,0.103
14.511265277862549,40,0.0929
21.72522521018982,60,0.1482
30.875099182128906,80,0.5857
40.68591833114624,100,0.693
50.233569383621216,120,0.7441
59.747453451156616,140,0.7537
67.59500527381897,160,0.7736
75.23347687721252,180,0.7894
81.87477946281433,200,0.8026
90.0761992931366,220,0.7982
99.50855946540833,240,0.813
108.9166989326477,260,0.8196
118.22040677070618,280,0.8206
127.14947080612183,300,0.8142
134.77263808250427,320,0.8235
142.32213497161865,340,0.8291
148.78318309783936,360,0.8321
157.43882870674133,380,0.8348
167.1459047794342,400,0.8409
176.62846183776855,420,0.8348
186.18373894691467,440,0.843
194.50448846817017,460,0.8444
202.10800218582153,480,0.8389
209.2064459323883,500,0.8451
216.0759949684143,520,0.841
225.0559709072113,540,0.8455
234.59222769737244,560,0.8494
244.0528256893158,580,0.8511
253.63195991516113,600,0.8497
261.5914514064789,620,0.8514
269.1933948993683,640,0.8514
276.3828475475311,660,0.8535
283.6106903553009,680,0.8552
292.86610198020935,700,0.8537
302.2847099304199,720,0.8542
311.86278080940247,740,0.8561
321.2460403442383,760,0.8556
329.1323003768921,780,0.8604
336.7914159297943,800,0.8594
343.8972051143646,820,0.8601
351.00682735443115,840,0.8621
360.10801458358765,860,0.8636
369.51781392097473,880,0.8599
379.37709379196167,900,0.8648
388.87352085113525,920,0.8572
396.57422828674316,940,0.8614
404.2167685031891,960,0.8594
410.76304602622986,980,0.8667
417.8870093822479,1000,0.8616
426.9976670742035,1020,0.8638
436.47082591056824,1040,0.8649
446.11073780059814,1060,0.8668
455.7547228336334,1080,0.8629
463.47006916999817,1100,0.8645
471.0111138820648,1120,0.868
477.9569990634918,1140,0.8649
486.0252604484558,1160,0.8656
495.61219668388367,1180,0.8698
505.25455021858215,1200,0.8675
514.9248719215393,1220,0.8689
523.6737277507782,1240,0.8676
531.2684910297394,1260,0.8676
538.3680262565613,1280,0.8705
545.7638597488403,1300,0.8713
555.1378211975098,1320,0.8699
564.5474560260773,1340,0.8728
574.1177055835724,1360,0.8705
583.6987047195435,1380,0.8756
591.3799750804901,1400,0.871
598.9331085681915,1420,0.8713
605.5064868927002,1440,0.8735
614.5961849689484,1460,0.8726
624.1604561805725,1480,0.8745
633.7197346687317,1500,0.8771
643.2495470046997,1520,0.8761
651.5699050426483,1540,0.8805
658.9683570861816,1560,0.8788
666.0025844573975,1580,0.8764
675.1712577342987,1600,0.8746
684.5578727722168,1620,0.8795
693.9966025352478,1640,0.8739
703.4374334812164,1660,0.8774
711.840448141098,1680,0.8722
719.5522685050964,1700,0.877
726.1713163852692,1720,0.8728
733.024246931076,1740,0.8823
742.0423514842987,1760,0.8818
751.8115346431732,1780,0.8775
761.5800850391388,1800,0.8763
771.1986527442932,1820,0.8793
778.9451169967651,1840,0.8761
786.5056607723236,1860,0.886
793.6191754341125,1880,0.8726
801.4713559150696,1900,0.8814
810.9356043338776,1920,0.881
820.5132939815521,1940,0.8778
830.1270802021027,1960,0.8789
839.3662207126617,1980,0.8855
846.9726393222809,2000,0.8834
854.3438925743103,2020,0.8817
861.2568912506104,2040,0.8774
870.5324304103851,2060,0.8776
880.3151657581329,2080,0.8809
890.2213752269745,2100,0.8785
899.631673336029,2120,0.8855
907.3229520320892,2140,0.8808
915.0623264312744,2160,0.8751
921.6937055587769,2180,0.8831
930.0442740917206,2200,0.8828
939.5552592277527,2220,0.8821
949.1910266876221,2240,0.8768
958.8629870414734,2260,0.8812
967.4454874992371,2280,0.8848
975.1395130157471,2300,0.8874
982.2125513553619,2320,0.8799
989.4945750236511,2340,0.8815
998.8325498104095,2360,0.8873
1008.2658960819244,2380,0.8855
1018.1735415458679,2400,0.8789
1027.869321346283,2420,0.8844
1035.414999961853,2440,0.8827
1042.9840621948242,2460,0.8801
1050.259997367859,2480,0.8812
1059.7884249687195,2500,0.8833
1069.4522438049316,2520,0.8806
1079.0441527366638,2540,0.8848
1088.156499862671,2560,0.8904
1095.8813304901123,2580,0.8815
1103.5414669513702,2600,0.8873
1110.0917127132416,2620,0.8845
1118.041258096695,2640,0.8933
1127.6844234466553,2660,0.8872
1137.4344670772552,2680,0.8859
1147.276787519455,2700,0.8897
1156.048865556717,2720,0.8841
1163.4991481304169,2740,0.8814
1171.0621247291565,2760,0.8858
1177.7116158008575,2780,0.8852
1185.4244585037231,2800,0.8835
1194.698367357254,2820,0.8876
1204.259686946869,2840,0.8915
1213.9108951091766,2860,0.886
1223.3042447566986,2880,0.8897
1231.2829916477203,2900,0.8819
1238.8935198783875,2920,0.8854
1245.8499870300293,2940,0.8894
1255.2938740253448,2960,0.8779
1265.0283539295197,2980,0.8853
1274.9694383144379,3000,0.892
1284.5276157855988,3020,0.8874
1292.2792220115662,3040,0.887
1299.9464199543,3060,0.8857
1306.6756286621094,3080,0.8846
1314.415319442749,3100,0.8901
1323.8446464538574,3120,0.8845
1333.4257621765137,3140,0.8915
1343.1026284694672,3160,0.8898
1352.3087556362152,3180,0.8868
1360.5617983341217,3200,0.8875
1368.2771518230438,3220,0.8891
1374.8384490013123,3240,0.8878
1382.9895062446594,3260,0.889
1392.5429830551147,3280,0.8941
1402.4531738758087,3300,0.8866
1412.085373878479,3320,0.8975
1420.9393332004547,3340,0.8918
1428.7446539402008,3360,0.8891
1436.2903852462769,3380,0.8918
1443.6552045345306,3400,0.89
1453.31632065773,3420,0.8841
1462.901846408844,3440,0.8946
1472.6426072120667,3460,0.8872
1482.1605505943298,3480,0.8959
1490.2834689617157,3500,0.889
1497.9576914310455,3520,0.8876
1504.6515645980835,3540,0.8923
1513.209533214569,3560,0.8933
1522.8768088817596,3580,0.8861
1532.9187536239624,3600,0.8918
1542.650619506836,3620,0.8888
1551.154322385788,3640,0.896
1559.0812857151031,3660,0.8902
1566.562451839447,3680,0.894
1574.6955823898315,3700,0.891
1584.3236329555511,3720,0.8967
1594.039398431778,3740,0.8887
1603.870097398758,3760,0.8941
1612.606509923935,3780,0.8925
1620.5952999591827,3800,0.8907
1627.9853959083557,3820,0.8958
1634.9358644485474,3840,0.8941
1644.0436480045319,3860,0.8947
1653.8490931987762,3880,0.898
1663.6672730445862,3900,0.896
1673.3471162319183,3920,0.8936
1681.507742881775,3940,0.8961
1689.3942947387695,3960,0.8959
1696.5372593402863,3980,0.8931
1702.3706274032593,4000,0.8958
