Time,Step,Value
0.0002613067626953125,0,0.5014
143.40085577964783,20,0.5077
291.045672416687,40,0.5017
439.7515013217926,60,0.4994
586.3701915740967,80,0.5041
733.1619946956635,100,0.5326
881.7662456035614,120,0.5342
1032.715605020523,140,0.5513
1179.190970659256,160,0.5744
1328.162567615509,180,0.5654
1477.6572923660278,200,0.5679
1622.0240697860718,220,0.5724
1768.57981467247,240,0.5856
1919.3146147727966,260,0.5897
2067.453508615494,280,0.5945
2213.2310752868652,300,0.6145
2365.2859194278717,320,0.6124
2512.90154671669,340,0.6322
2657.5487263202667,360,0.6334
2803.4442472457886,380,0.6389
2955.222114086151,400,0.6279
3102.7617053985596,420,0.6443
3246.980489253998,440,0.631
3395.490121603012,460,0.6418
3544.160523891449,480,0.6611
3692.026909351349,500,0.6432
3838.1624274253845,520,0.6492
3988.4255537986755,540,0.648
4137.812752246857,560,0.6458
4282.863075256348,580,0.6573
4434.430552005768,600,0.653
4582.585006475449,620,0.6533
4727.347672224045,640,0.6594
4875.123039960861,660,0.6558
5025.457085132599,680,0.6592
5173.690983533859,700,0.6562
5321.4919509887695,720,0.6534
5473.0174696445465,740,0.66
5621.411930322647,760,0.6644
5768.369011163712,780,0.668
5919.021051645279,800,0.6649
6070.660977602005,820,0.6604
6216.0951108932495,840,0.6692
6367.609591722488,860,0.6674
6516.1556396484375,880,0.6596
6661.97069478035,900,0.667
6808.277133464813,920,0.6582
6959.541504144669,940,0.66
7106.347486257553,960,0.6528
7251.5761642456055,980,0.6657
7396.561477899551,1000,0.6606
7537.83274769783,1020,0.674
7680.4218163490295,1040,0.6588
7820.467772960663,1060,0.66
7959.3161544799805,1080,0.6502
8097.345899105072,1100,0.6626
8236.585180044174,1120,0.6584
8379.42290520668,1140,0.6714
8523.312547683716,1160,0.6561
8661.80830192566,1180,0.6599
8803.881189584732,1200,0.6616
8943.647976636887,1220,0.6699
9085.101315498352,1240,0.6604
9226.323481798172,1260,0.6687
9365.19356417656,1280,0.6643
9503.648672580719,1300,0.6587
9642.810827732086,1320,0.6685
9779.246882200241,1340,0.6773
9921.947352170944,1360,0.668
10063.099196195602,1380,0.6599
10205.221281528473,1400,0.6677
10344.704132318497,1420,0.6691
10481.353333234787,1440,0.6685
10618.790581226349,1460,0.673
10760.409507751465,1480,0.6705
10901.08386683464,1500,0.6758
11043.052171468735,1520,0.6743
11182.341782569885,1540,0.6689
11320.589927434921,1560,0.6809
11457.42124080658,1580,0.6723
11595.376554489136,1600,0.666
11732.51333475113,1620,0.6734
11876.099507331848,1640,0.6719
12017.867886781693,1660,0.6719
12157.912592411041,1680,0.671
12296.912635087967,1700,0.6717
12433.545644521713,1720,0.6779
12572.280927658081,1740,0.6769
12712.906575679779,1760,0.6752
12854.194612503052,1780,0.6766
12995.331111431122,1800,0.674
13135.566091537476,1820,0.6777
13273.345022678375,1840,0.6724
13411.068722724915,1860,0.6774
13551.3356487751,1880,0.6766
13694.740595817566,1900,0.6756
13836.499396562576,1920,0.6835
13975.62204837799,1940,0.6809
14115.401130437851,1960,0.6794
14257.903066635132,1980,0.6789
14402.254601478577,2000,0.6814
14540.948413133621,2020,0.6849
14679.778625965118,2040,0.6834
14817.761895656586,2060,0.674
14954.611949682236,2080,0.6833
15096.261327505112,2100,0.6821
15236.529933929443,2120,0.6842
15377.071302652359,2140,0.6928
15517.85955119133,2160,0.6803
15657.192893981934,2180,0.6819
15796.165255784988,2200,0.6867
15934.053969860077,2220,0.6844
16079.457304000854,2240,0.6843
16221.648693323135,2260,0.6757
16361.01733136177,2280,0.6827
16499.973556280136,2300,0.6866
16636.969581604004,2320,0.6806
16775.262271642685,2340,0.6843
16913.601954698563,2360,0.6882
17052.225674390793,2380,0.688
17194.9791328907,2400,0.6899
17336.253187656403,2420,0.6845
17477.254654169083,2440,0.6909
17615.265257120132,2460,0.6921
17751.946755170822,2480,0.6846
17891.397617340088,2500,0.6917
18034.795281648636,2520,0.6865
18181.359855413437,2540,0.6851
18321.39284849167,2560,0.6906
