Time,Step,Value
0.0006504058837890625,0,0.1337
40.361806869506836,20,0.4732
80.36467027664185,40,0.4806
122.15780401229858,60,0.7049
166.8162899017334,80,0.4902
211.7028844356537,100,0.469
256.5700423717499,120,0.591
301.4786696434021,140,0.5299
346.54926681518555,160,0.8028
391.3941659927368,180,0.5761
436.1763586997986,200,0.5175
480.91561007499695,220,0.6783
525.4862105846405,240,0.5973
569.8538882732391,260,0.8426
614.5512855052948,280,0.6545
659.804441690445,300,0.5771
704.583838224411,320,0.735
749.3723928928375,340,0.6384
794.5551762580872,360,0.856
839.1560153961182,380,0.7153
883.6082272529602,400,0.6275
928.493456363678,420,0.7719
973.2600185871124,440,0.6758
1018.2623293399811,460,0.87
1063.1452469825745,480,0.7481
1108.0630242824554,500,0.6643
1152.8077654838562,520,0.7865
1197.7403984069824,540,0.6979
1242.726483821869,560,0.8821
1287.752329826355,580,0.7733
1332.441065788269,600,0.6919
1376.7794072628021,620,0.81
1421.6628189086914,640,0.715
1466.3060684204102,660,0.8827
1510.5730237960815,680,0.7935
1554.7586970329285,700,0.7173
1599.390756368637,720,0.8247
1643.750969171524,740,0.7345
1688.0692718029022,760,0.8903
1732.0894181728363,780,0.807
1776.355605840683,800,0.7363
1820.6462137699127,820,0.8381
1865.3086466789246,840,0.745
1909.7800340652466,860,0.8923
1954.7182881832123,880,0.8159
1999.6483886241913,900,0.7569
2044.3603751659393,920,0.8429
2089.092836856842,940,0.7551
2133.969391107559,960,0.8966
2178.8992717266083,980,0.8256
2223.844992876053,1000,0.7633
2268.847195625305,1020,0.8495
2313.573730945587,1040,0.7666
2358.604229450226,1060,0.9
2403.5206656455994,1080,0.8325
2448.6078040599823,1100,0.7746
2493.9252190589905,1120,0.8589
2539.05122590065,1140,0.7768
2584.147280693054,1160,0.9009
2629.116835832596,1180,0.8423
2673.9696531295776,1200,0.7842
2718.94140791893,1220,0.8619
2763.937041759491,1240,0.7829
2809.0219497680664,1260,0.9023
2853.8089892864227,1280,0.8446
2898.412055492401,1300,0.7905
2943.232183933258,1320,0.8653
2987.9764699935913,1340,0.7882
3032.820333480835,1360,0.9053
3078.0288207530975,1380,0.8504
3122.9294188022614,1400,0.7951
3167.557838201523,1420,0.8691
3212.6712481975555,1440,0.7952
3257.4164714813232,1460,0.9042
3302.335186958313,1480,0.8505
3347.1321811676025,1500,0.7995
3392.054097175598,1520,0.8749
3437.496426343918,1540,0.7998
3482.4449121952057,1560,0.9051
3527.650074005127,1580,0.8543
3572.5281517505646,1600,0.804
3617.528932571411,1620,0.8789
3662.3734390735626,1640,0.8069
3707.0680859088898,1660,0.9067
3752.130716085434,1680,0.8572
3796.788899421692,1700,0.8129
3842.0166256427765,1720,0.879
3886.9602081775665,1740,0.8095
3931.788120508194,1760,0.9068
3976.7096683979034,1780,0.8592
4021.7483835220337,1800,0.8164
4066.8892085552216,1820,0.8803
4111.5216152668,1840,0.8148
4156.585121154785,1860,0.909
4201.348877668381,1880,0.8618
4246.316391468048,1900,0.8181
4291.5360453128815,1920,0.8834
4336.627165079117,1940,0.8189
4381.490596532822,1960,0.9095
4426.475528717041,1980,0.8634
4471.417491197586,2000,0.8248
4516.59844493866,2020,0.8848
4561.419762849808,2040,0.8218
4606.241164922714,2060,0.9089
4651.222255706787,2080,0.8662
4696.171484470367,2100,0.8255
4741.2684371471405,2120,0.8838
4786.332362651825,2140,0.8266
4831.408016443253,2160,0.9122
4876.466486930847,2180,0.8665
4921.546377897263,2200,0.8251
4966.509964942932,2220,0.8866
5011.588165044785,2240,0.8261
5056.470089912415,2260,0.9116
5101.475556135178,2280,0.8669
5146.16917514801,2300,0.8274
5191.19193148613,2320,0.8883
5236.030468940735,2340,0.8319
5280.867270946503,2360,0.9126
5326.153031349182,2380,0.8703
5371.9573612213135,2400,0.8332
5416.96053814888,2420,0.8907
5462.195062875748,2440,0.8336
5507.321153640747,2460,0.9131
5552.276456356049,2480,0.8715
5597.5110948085785,2500,0.833
5642.635969877243,2520,0.8908
5687.795384168625,2540,0.8363
5732.533621072769,2560,0.913
5777.673983573914,2580,0.8728
5822.740042924881,2600,0.836
5867.645207166672,2620,0.8911
5912.7302186489105,2640,0.8339
5957.787965774536,2660,0.9138
6003.087703227997,2680,0.8736
6048.264647960663,2700,0.8384
6093.106725692749,2720,0.8928
6138.372808933258,2740,0.8382
6183.530060529709,2760,0.9143
6228.892860651016,2780,0.8764
6274.366337299347,2800,0.8395
6319.2048988342285,2820,0.8944
6364.7190980911255,2840,0.8417
6409.4276394844055,2860,0.9147
6454.4636397361755,2880,0.8784
6499.380860328674,2900,0.8414
6544.5761477947235,2920,0.8963
6589.758194684982,2940,0.8447
6634.498978614807,2960,0.9158
6679.182394504547,2980,0.8776
6724.2190136909485,3000,0.8417
6769.52051281929,3020,0.8971
6814.461102724075,3040,0.8432
6859.436832904816,3060,0.9158
6904.372834920883,3080,0.8791
6949.447633504868,3100,0.8425
6994.74298453331,3120,0.8972
7039.841330766678,3140,0.845
7084.894816398621,3160,0.9161
7129.971217632294,3180,0.8794
7175.149880170822,3200,0.846
7220.149136543274,3220,0.8959
7265.228833436966,3240,0.8433
7310.135851621628,3260,0.9153
7355.265317440033,3280,0.879
7400.467862129211,3300,0.8474
7445.829130411148,3320,0.8991
7491.129184484482,3340,0.8477
7536.418409824371,3360,0.917
7581.671875953674,3380,0.8817
7626.832527399063,3400,0.8475
7671.93429017067,3420,0.8987
7716.9557366371155,3440,0.8486
7762.309703588486,3460,0.9163
7807.405502080917,3480,0.8829
7852.4305720329285,3500,0.8501
7897.691886663437,3520,0.8987
7943.137216806412,3540,0.8494
7988.300538301468,3560,0.9165
8033.904438018799,3580,0.8843
8078.972013235092,3600,0.8518
8124.362065315247,3620,0.9004
8169.509673833847,3640,0.8489
8214.341810703278,3660,0.9178
8259.751670837402,3680,0.8845
8305.10221004486,3700,0.852
8350.47902059555,3720,0.9014
8395.578848361969,3740,0.8513
8440.849378585815,3760,0.9173
8485.910955190659,3780,0.8853
8531.228441953659,3800,0.8512
8576.20257973671,3820,0.9024
8621.496397972107,3840,0.8536
8666.815562009811,3860,0.9173
8712.161851406097,3880,0.8863
8757.658195495605,3900,0.8531
8802.460272550583,3920,0.9027
8847.753945827484,3940,0.8544
8893.071156978607,3960,0.9181
8938.295971155167,3980,0.8871
8983.508536100388,4000,0.8538
9028.667475700378,4020,0.9011
9073.913927793503,4040,0.8549
9119.375054359436,4060,0.9184
9164.466674566269,4080,0.8855
9209.967737913132,4100,0.8536
9255.081187486649,4120,0.9036
9300.449630022049,4140,0.8577
9345.807781219482,4160,0.9182
9391.234236478806,4180,0.8872
9436.503005027771,4200,0.8556
9481.845911979675,4220,0.9029
9526.92869758606,4240,0.8584
9572.113260030746,4260,0.9191
9617.24100780487,4280,0.8886
9662.505731582642,4300,0.8562
9707.724672555923,4320,0.9039
9753.051974058151,4340,0.8596
9798.2271130085,4360,0.9187
9843.402358055115,4380,0.8903
9888.644300222397,4400,0.8577
9933.875232934952,4420,0.9028
9979.120030403137,4440,0.8598
10024.539801836014,4460,0.9188
10069.579932451248,4480,0.8896
10114.844220638275,4500,0.8567
10160.050579071045,4520,0.9037
10205.462392807007,4540,0.8604
10250.642075061798,4560,0.9203
10295.631746530533,4580,0.8897
10340.903123378754,4600,0.8581
10386.377668619156,4620,0.905
10431.722368478775,4640,0.862
10476.910820007324,4660,0.9196
10522.206703186035,4680,0.8922
10567.619273900986,4700,0.8598
10612.851772069931,4720,0.9047
10658.479895353317,4740,0.8631
10703.625702142715,4760,0.9197
10748.850276231766,4780,0.8939
10794.13451385498,4800,0.8616
10839.043062448502,4820,0.9062
10884.5191822052,4840,0.8623
