Time,Step,Value
0.0009093284606933594,0,0.226
235.09787154197693,200,0.226
401.7414586544037,400,0.226
514.1036293506622,600,0.226
673.7928512096405,800,0.226
879.5286684036255,1000,0.226
1048.645738363266,1200,0.226
1216.8166189193726,1400,0.226
1353.2421152591705,1600,0.226
1596.659244775772,1800,0.226
1707.8950471878052,2000,0.226
1879.2467436790466,2200,0.226
2030.6112427711487,2400,0.226
2268.2578070163727,2600,0.2261
2435.5376648902893,2800,0.2261
2547.8826212882996,3000,0.2264
2707.6262397766113,3200,0.2272
2913.09490609169,3400,0.2309
3081.9030907154083,3600,0.2366
3250.214319229126,3800,0.2448
3386.5904154777527,4000,0.2544
3630.3168098926544,4200,0.2827
3741.396006345749,4400,0.2985
3912.8284068107605,4600,0.3221
4048.5251309871674,4800,0.3516
4257.785762786865,5000,0.406
4404.671144485474,5200,0.4387
4502.701866388321,5400,0.4505
4646.989074230194,5600,0.5016
4835.890818357468,5800,0.5218
4995.421858549118,6000,0.5497
5159.859112977982,6200,0.5701
5295.024010419846,6400,0.5759
5538.013004779816,6600,0.6155
5648.41356420517,6800,0.6215
5819.139159679413,7000,0.626
5970.176774978638,7200,0.6379
6206.927186965942,7400,0.6591
6374.177270650864,7600,0.6671
6486.427184343338,7800,0.6777
6645.881523609161,8000,0.6783
6851.068826675415,8200,0.6729
7019.810034990311,8400,0.6784
7187.887350320816,8600,0.6831
7324.194904327393,8800,0.6829
7567.4981117248535,9000,0.6793
7678.159038066864,9200,0.6816
7849.541538238525,9400,0.6843
8000.817476987839,9600,0.6901
8238.176342248917,9800,0.6966
8405.918868303299,10000,0.6978
8518.48317360878,10200,0.6965
8678.169868469238,10400,0.7001
8883.940362215042,10600,0.6904
9052.55127120018,10800,0.6892
9220.377852201462,11000,0.6895
9356.95931506157,11200,0.6905
9600.184011936188,11400,0.6906
9711.028868675232,11600,0.6871
9882.703579425812,11800,0.6881
10034.178680181503,12000,0.6918
10271.41816496849,12200,0.6943
10438.545499324799,12400,0.6936
10551.863403081894,12600,0.6936
10711.65658068657,12800,0.6919
10917.204945802689,13000,0.6936
11086.063569784164,13200,0.6948
11254.464112520218,13400,0.6942
11391.17833352089,13600,0.7
11634.675599575043,13800,0.6932
11745.663603305817,14000,0.6946
11917.215230703354,14200,0.6969
12068.741551160812,14400,0.6922
12307.053626298904,14600,0.6911
12474.888869047165,14800,0.6912
12587.800706624985,15000,0.6869
