Time,Step,Value
0.0003383159637451172,0,0.1313
29.03588628768921,20,0.0987
54.519997358322144,40,0.0956
78.02263045310974,60,0.0945
107.38402509689331,80,0.0997
130.4012382030487,100,0.0996
160.27528285980225,120,0.5314
186.13093733787537,140,0.5324
214.10262370109558,160,0.6058
241.61232614517212,180,0.7197
265.7009119987488,200,0.7315
295.59956455230713,220,0.6107
318.6659116744995,240,0.3882
346.27350425720215,260,0.2694
373.53169775009155,280,0.2095
398.0290095806122,300,0.1893
427.82017183303833,320,0.5944
451.16043043136597,340,0.7148
478.8123822212219,360,0.795
506.35673809051514,380,0.8537
530.9575340747833,400,0.8632
560.5929012298584,420,0.837
583.6718881130219,440,0.7362
612.8613841533661,460,0.6062
639.131546497345,480,0.5007
664.2675359249115,500,0.4206
693.6500062942505,520,0.8103
716.6612677574158,540,0.8597
746.8603765964508,560,0.8792
772.3959164619446,580,0.876
800.4493064880371,600,0.8835
827.780802488327,620,0.8825
851.4833786487579,640,0.8528
881.4830107688904,660,0.7956
904.0126836299896,680,0.734
931.8661968708038,700,0.6771
959.4613945484161,720,0.8602
984.5266425609589,740,0.8817
1014.2476794719696,760,0.889
1036.8100979328156,780,0.8908
1066.7498049736023,800,0.8895
1092.8699696063995,820,0.8901
1118.8425109386444,840,0.8868
1147.4386312961578,860,0.8627
1169.501294374466,880,0.839
1199.4472992420197,900,0.8089
1225.172621011734,920,0.8855
1250.7200095653534,940,0.8974
1279.1852655410767,960,0.8954
1302.699140071869,980,0.8962
1332.922489643097,1000,0.899
1357.4212563037872,1020,0.8997
1383.9271247386932,1040,0.8982
1411.8785600662231,1060,0.8914
1436.3543322086334,1080,0.8793
1466.7280595302582,1100,0.8758
1489.80983543396,1120,0.8991
1517.86772108078,1140,0.8985
1545.3545362949371,1160,0.906
1569.322937965393,1180,0.9008
1599.7259984016418,1200,0.9019
1622.8311336040497,1220,0.9084
1651.907946586609,1240,0.9072
1678.2102477550507,1260,0.9037
1704.3656952381134,1280,0.8984
1732.9411206245422,1300,0.8991
1757.241632938385,1320,0.9072
1787.579921245575,1340,0.9041
1810.4918229579926,1360,0.9052
1838.3763899803162,1380,0.9031
1865.705956697464,1400,0.9064
1888.455927848816,1420,0.9085
1918.3693888187408,1440,0.906
1942.435558795929,1460,0.8987
1969.771737575531,1480,0.9021
1997.4144401550293,1500,0.9005
2021.4889929294586,1520,0.9077
2051.9590423107147,1540,0.905
2076.0736005306244,1560,0.9111
2106.3266224861145,1580,0.9054
2131.5436968803406,1600,0.9072
2157.2834742069244,1620,0.9074
2185.866002559662,1640,0.9037
2210.487688302994,1660,0.8973
2240.669088125229,1680,0.9008
2264.634336709976,1700,0.8929
2294.8150901794434,1720,0.9083
2320.6760346889496,1740,0.9088
2345.8733043670654,1760,0.9077
2374.8105249404907,1780,0.9134
2398.779094696045,1800,0.9089
2428.638824701309,1820,0.9109
2452.5077164173126,1840,0.9081
2479.8633995056152,1860,0.9061
2507.5289211273193,1880,0.9057
2531.433363676071,1900,0.906
2561.645363807678,1920,0.9129
2585.214301109314,1940,0.9158
2613.531337738037,1960,0.9158
2640.6443276405334,1980,0.9085
2664.7204687595367,2000,0.9108
2694.713540315628,2020,0.9176
2717.2166125774384,2040,0.9111
2744.6134493350983,2060,0.9054
2771.9871406555176,2080,0.9047
2795.9051809310913,2100,0.9055
2826.272735118866,2120,0.9119
2849.496154308319,2140,0.9102
2878.8433763980865,2160,0.91
2905.197547197342,2180,0.9124
2930.476386785507,2200,0.9131
2959.6881275177,2220,0.9157
2982.3918685913086,2240,0.9086
3011.9819598197937,2260,0.9106
3038.1424281597137,2280,0.9101
3064.6515970230103,2300,0.9023
3092.9220821857452,2320,0.9189
3115.4345512390137,2340,0.918
3145.6493802070618,2360,0.9171
3170.7958121299744,2380,0.9169
3198.5079588890076,2400,0.9188
3225.6621911525726,2420,0.9151
3249.6988167762756,2440,0.9137
3279.4736309051514,2460,0.912
3302.2630705833435,2480,0.9082
3331.343378305435,2500,0.9127
3358.12481546402,2520,0.9138
3385.123566389084,2540,0.917
3413.500448703766,2560,0.9113
3436.3770983219147,2580,0.9188
3466.671533346176,2600,0.9132
3491.0255510807037,2620,0.9163
3517.6855573654175,2640,0.9126
3545.676673412323,2660,0.914
3568.421131134033,2680,0.911
3598.8686335086823,2700,0.9146
3623.527320623398,2720,0.9171
3650.08877158165,2740,0.9204
3678.250689983368,2760,0.9163
3703.400974035263,2780,0.9185
3733.371507167816,2800,0.9168
3755.9318373203278,2820,0.9147
3784.911726474762,2840,0.913
3811.4043180942535,2860,0.9157
3836.047919988632,2880,0.9145
3865.6757142543793,2900,0.9134
3888.7231595516205,2920,0.9172
3916.2325763702393,2940,0.9164
3943.784298181534,2960,0.917
3967.617521762848,2980,0.9172
3997.9154105186462,3000,0.9188
4020.9844858646393,3020,0.9138
4049.372277736664,3040,0.9145
4076.6576886177063,3060,0.9184
4101.696036577225,3080,0.9155
4131.246747255325,3100,0.9145
4153.9658262729645,3120,0.9133
4183.256202697754,3140,0.9178
4209.692384004593,3160,0.9178
4234.922329425812,3180,0.9193
4264.2235589027405,3200,0.9197
4286.845834970474,3220,0.9158
4316.309450626373,3240,0.9194
4342.492889881134,3260,0.9145
4366.621482849121,3280,0.9157
4396.016806364059,3300,0.9128
4418.42849946022,3320,0.9124
4448.276787519455,3340,0.9161
4474.609935998917,3360,0.9187
4499.2775819301605,3380,0.9164
4528.766117572784,3400,0.9207
4551.5341811180115,3420,0.9209
4580.988996744156,3440,0.9147
4607.172487020493,3460,0.9216
4632.544578552246,3480,0.9195
4661.374190092087,3500,0.9184
4684.737064123154,3520,0.9178
4714.884428977966,3540,0.9188
4740.020660161972,3560,0.9196
4768.175901889801,3580,0.9216
4795.763957977295,3600,0.9195
4820.2360236644745,3620,0.9199
4849.908006668091,3640,0.9179
4872.799757003784,3660,0.915
4901.450106143951,3680,0.9165
4928.30602145195,3700,0.9189
4954.739924669266,3720,0.9184
4983.659115552902,3740,0.9215
5006.277861118317,3760,0.9197
5036.195986747742,3780,0.9209
5062.095479011536,3800,0.9149
5087.60892367363,3820,0.9163
5116.2132396698,3840,0.9211
5140.2634806633,3860,0.9174
5170.233389616013,3880,0.9129
5194.162267923355,3900,0.9165
5220.546718597412,3920,0.9199
5248.820866823196,3940,0.9162
5271.856718540192,3960,0.9214
5302.1724944114685,3980,0.9193
5326.790986537933,4000,0.9245
5354.582177400589,4020,0.9261
5381.910937547684,4040,0.9173
5405.368120670319,4060,0.9174
5435.706764221191,4080,0.9194
5459.479723215103,4100,0.9187
5489.316230535507,4120,0.9205
5515.570755243301,4140,0.9214
5540.611599206924,4160,0.9217
5569.712587356567,4180,0.9196
5592.372761249542,4200,0.9228
5622.09623503685,4220,0.9199
5648.128985643387,4240,0.9203
5675.273152828217,4260,0.9185
5703.163343906403,4280,0.9171
5726.6527597904205,4300,0.9212
5757.099322319031,4320,0.9158
5781.173343658447,4340,0.9177
5807.652318954468,4360,0.9218
5835.838729858398,4380,0.9212
5861.116147518158,4400,0.9213
5891.249181509018,4420,0.9232
5914.063190698624,4440,0.9214
5943.0724885463715,4460,0.9248
5969.614095211029,4480,0.9137
5993.63245344162,4500,0.9179
6023.709963083267,4520,0.9245
6046.5671973228455,4540,0.9215
6075.388462781906,4560,0.9193
6102.267597436905,4580,0.9216
6126.353166818619,4600,0.923
6156.014168739319,4620,0.9187
6179.180974245071,4640,0.9199
6208.572880268097,4660,0.9232
6235.022950410843,4680,0.9195
6260.75209236145,4700,0.9205
6289.6551122665405,4720,0.9247
6313.838833332062,4740,0.924
6344.433758020401,4760,0.9187
6367.827120065689,4780,0.9219
6395.708008766174,4800,0.9235
6423.0050756931305,4820,0.9195
6446.617387294769,4840,0.9197
6476.99024772644,4860,0.9214
6500.270130157471,4880,0.919
6528.58885550499,4900,0.9209
6555.607733249664,4920,0.9183
6579.791046142578,4940,0.9182
6609.315822601318,4960,0.9193
6632.893004417419,4980,0.9189
6663.394693374634,5000,0.9196
6688.623041391373,5020,0.9219
6713.600484371185,5040,0.9166
6742.435303211212,5060,0.9201
6764.756408452988,5080,0.9208
6794.624411821365,5100,0.9219
6820.10720205307,5120,0.9186
6847.008089065552,5140,0.9187
6875.520916700363,5160,0.9215
6898.454148054123,5180,0.9224
6928.96207857132,5200,0.9193
6953.494931936264,5220,0.9205
6981.3251440525055,5240,0.9208
7008.466936826706,5260,0.9173
7032.117027759552,5280,0.9202
7062.554369211197,5300,0.9214
7085.732713222504,5320,0.9231
7114.400542974472,5340,0.9204
7141.474748373032,5360,0.9161
7165.619359254837,5380,0.9196
7195.742040872574,5400,0.9211
7218.746341943741,5420,0.9259
7248.506782054901,5440,0.9232
7274.661056756973,5460,0.9224
7299.92629981041,5480,0.9172
7329.219858407974,5500,0.9196
7352.176899909973,5520,0.9231
7381.8040244579315,5540,0.9203
7407.595999717712,5560,0.9207
7434.058249950409,5580,0.9239
7462.870323896408,5600,0.923
7487.296228647232,5620,0.9257
7517.5261154174805,5640,0.9239
7540.442503452301,5660,0.9201
7568.055916309357,5680,0.9178
7595.660579919815,5700,0.9153
7619.359201669693,5720,0.9262
7649.749811887741,5740,0.9193
7673.298793554306,5760,0.9235
7702.895634651184,5780,0.9191
7729.008648633957,5800,0.9259
7753.454595565796,5820,0.9244
7782.986461162567,5840,0.924
7805.1969583034515,5860,0.9205
7834.769327640533,5880,0.9228
7861.336257457733,5900,0.921
7888.213270664215,5920,0.9222
7916.791640758514,5940,0.9207
7939.272284269333,5960,0.9183
7969.681683301926,5980,0.9268
7994.609700202942,6000,0.9234
8021.319576501846,6020,0.9218
8049.293714284897,6040,0.9213
8073.616787433624,6060,0.9248
8103.971684455872,6080,0.9244
8126.72388958931,6100,0.9212
8154.402485609055,6120,0.9255
8181.880553483963,6140,0.9241
