Time,Step,Value
0.0001761913299560547,0,0.5002
171.0440649986267,20,0.4931
347.2460777759552,40,0.5054
518.1651179790497,60,0.4909
691.8395783901215,80,0.543
869.8717837333679,100,0.5129
1045.587485551834,120,0.5085
1220.6239578723907,140,0.5353
1394.848173379898,160,0.5056
1572.821434020996,180,0.5495
1747.569650888443,200,0.5962
1920.8786144256592,220,0.5959
2097.910272836685,240,0.6138
2271.6332697868347,260,0.6146
2446.335784673691,280,0.6109
2624.824073791504,300,0.6268
2798.5761137008667,320,0.6434
2971.031413793564,340,0.6136
3149.871725797653,360,0.6394
3324.735212802887,380,0.6509
3498.414458990097,400,0.6417
3675.5587344169617,420,0.6538
3851.0503611564636,440,0.6538
4023.759200334549,460,0.6563
4200.33522105217,480,0.6539
4379.278866767883,500,0.6595
4552.855361223221,520,0.6585
4725.322207212448,540,0.6603
4901.098735570908,560,0.6574
5078.38934469223,580,0.6603
5252.39536857605,600,0.6512
5430.139173030853,620,0.6577
5609.756694793701,640,0.6418
5784.99733710289,660,0.67
5973.438282251358,680,0.6642
6149.71914768219,700,0.6645
6322.868652582169,720,0.6444
6494.767763376236,740,0.669
6709.944886207581,760,0.6624
6890.853004693985,780,0.6666
7066.6629474163055,800,0.6721
7262.31135725975,820,0.6631
7437.3809270858765,840,0.6652
7609.243564367294,860,0.6482
7785.157706022263,880,0.6475
7963.144502401352,900,0.6555
8137.39666891098,920,0.6622
8308.94669175148,940,0.6519
8485.703416109085,960,0.671
8660.895530939102,980,0.6637
8832.280737876892,1000,0.6566
9009.2922103405,1020,0.644
9185.988010644913,1040,0.661
9357.468826532364,1060,0.6705
9532.561317682266,1080,0.6629
9709.969743013382,1100,0.6663
9883.175394773483,1120,0.6509
10057.444373369217,1140,0.6571
10233.842480897903,1160,0.6754
10409.543796777725,1180,0.667
10582.166015863419,1200,0.6592
10757.327778577805,1220,0.67
10934.424391746521,1240,0.6736
11108.154789209366,1260,0.6617
11281.875460624695,1280,0.6655
11459.418226480484,1300,0.671
11630.887092113495,1320,0.6737
11806.95042347908,1340,0.668
11985.363047361374,1360,0.6786
12159.243870258331,1380,0.6683
12331.408369064331,1400,0.6741
12509.406019210815,1420,0.6679
12685.886584758759,1440,0.6695
