Time,Step,Value
0.000186920166015625,0,0.1245
45.34003710746765,20,0.2901
86.10312390327454,40,0.2922
129.44350218772888,60,0.2884
175.78175616264343,80,0.2982
217.2012984752655,100,0.3041
260.29935908317566,120,0.6482
306.8392915725708,140,0.6598
349.73460149765015,160,0.6567
391.6295599937439,180,0.6591
438.8903453350067,200,0.6611
480.96852946281433,220,0.8285
523.1863882541656,240,0.7299
570.0320773124695,260,0.6813
612.5189604759216,280,0.6641
654.8594069480896,300,0.6565
701.9652285575867,320,0.8421
745.8310163021088,340,0.8213
787.9513640403748,360,0.8009
835.0118715763092,380,0.7946
879.5451214313507,400,0.8001
921.8938310146332,420,0.8705
967.766325712204,440,0.8374
1011.827241897583,460,0.8247
1052.8872065544128,480,0.8102
1099.3653709888458,500,0.8002
1144.7263207435608,520,0.873
1186.2387807369232,540,0.8651
1231.9852817058563,560,0.8614
1277.5752155780792,580,0.8589
1319.3746707439423,600,0.8515
1364.0995020866394,620,0.8829
1410.336742401123,640,0.8737
1452.1934871673584,660,0.8523
1495.4518837928772,680,0.8494
1542.5158984661102,700,0.844
1585.810216665268,720,0.8939
1627.6224992275238,740,0.8779
1674.7268195152283,760,0.8772
1718.072217464447,780,0.8769
1760.6581535339355,800,0.872
1807.3992140293121,820,0.8917
1853.1857650279999,840,0.881
1894.9286499023438,860,0.8761
1939.3189256191254,880,0.8732
1986.207064628601,900,0.8731
2029.8815937042236,920,0.8949
2071.7981083393097,940,0.8902
2119.0112948417664,960,0.8898
2162.334690093994,980,0.8855
2204.1802685260773,1000,0.8892
2251.2640249729156,1020,0.8962
2296.0664298534393,1040,0.8898
2337.1301052570343,1060,0.8865
2383.6922731399536,1080,0.876
2429.6628861427307,1100,0.8793
2472.808739900589,1120,0.8992
2516.9505801200867,1140,0.8961
2563.5539076328278,1160,0.8944
2606.9218180179596,1180,0.8937
2649.705157518387,1200,0.8881
2697.309943675995,1220,0.9035
2741.011902332306,1240,0.8955
2783.4490995407104,1260,0.8896
2830.0103046894073,1280,0.8935
2875.601673603058,1300,0.8908
2918.9458849430084,1320,0.9044
2962.4908876419067,1340,0.8976
3009.0640182495117,1360,0.8967
3051.311579465866,1380,0.905
3095.1549694538116,1400,0.898
3142.0299701690674,1420,0.9061
3184.331119298935,1440,0.9034
3227.2638881206512,1460,0.8967
3274.3894593715668,1480,0.9001
3317.0785512924194,1500,0.8936
3359.611991405487,1520,0.9102
3407.2290921211243,1540,0.8998
3450.549536705017,1560,0.8993
3492.381143093109,1580,0.9005
3539.9777121543884,1600,0.9049
3584.2948319911957,1620,0.9096
3626.246493577957,1640,0.9022
3672.6110920906067,1660,0.897
3716.5787365436554,1680,0.8996
3758.758335828781,1700,0.9005
3804.9797308444977,1720,0.9057
3849.976226091385,1740,0.9076
3892.2933201789856,1760,0.9058
3936.991003036499,1780,0.9048
3984.492461681366,1800,0.9062
4027.2224221229553,1820,0.9051
4069.6436426639557,1840,0.9061
4116.468139410019,1860,0.9027
4159.335728168488,1880,0.9031
4201.798638343811,1900,0.903
4249.264682292938,1920,0.9099
4294.1048057079315,1940,0.9101
4335.722955703735,1960,0.9087
4382.424316167831,1980,0.9103
4427.167901277542,2000,0.9101
4468.337574005127,2020,0.9084
4514.68217921257,2040,0.9048
4559.5577392578125,2060,0.909
4601.764759302139,2080,0.9055
4646.690258264542,2100,0.907
4693.82155752182,2120,0.9105
4737.813919305801,2140,0.906
4781.2592124938965,2160,0.9097
4827.713532209396,2180,0.9113
4874.320264339447,2200,0.9154
4916.679214954376,2220,0.912
4959.518526315689,2240,0.9154
5006.724627733231,2260,0.9098
5051.218463182449,2280,0.9034
5092.386810541153,2300,0.9075
5139.433742284775,2320,0.9094
5183.80211186409,2340,0.9129
5226.540309667587,2360,0.9149
5272.631097793579,2380,0.9104
5317.986783981323,2400,0.9131
5359.046865224838,2420,0.9126
5404.347742795944,2440,0.9065
5450.8036777973175,2460,0.9099
5491.880777835846,2480,0.9075
5536.406705856323,2500,0.9085
5582.878060102463,2520,0.9129
