Time,Step,Value
0.0004229545593261719,0,0.1291
11.850253820419312,5,0.8944
23.934919118881226,10,0.9012
38.90638732910156,15,0.9061
53.8550169467926,20,0.9147
66.7909529209137,25,0.9134
78.57647347450256,30,0.9166
91.11034750938416,35,0.9181
106.33197903633118,40,0.9152
121.0886824131012,45,0.9208
133.35569667816162,50,0.921
145.15650629997253,55,0.92
157.31132125854492,60,0.9214
172.1479423046112,65,0.9157
187.20728063583374,70,0.9234
200.34611916542053,75,0.9153
210.88772869110107,80,0.9255
221.61147093772888,85,0.9217
235.56718373298645,90,0.9226
249.84792518615723,95,0.922
263.86204051971436,100,0.9276
276.0238540172577,105,0.9269
287.5045049190521,110,0.9223
302.0480761528015,115,0.9263
317.3344352245331,120,0.9246
331.11378931999207,125,0.9238
342.99410223960876,130,0.9282
354.6467709541321,135,0.9276
369.89574122428894,140,0.925
385.21649193763733,145,0.9223
398.7303593158722,150,0.9256
410.6743018627167,155,0.929
423.2420332431793,160,0.9287
438.15628266334534,165,0.9291
453.262499332428,170,0.9281
466.202800989151,175,0.9265
477.9173972606659,180,0.9235
491.6995356082916,185,0.9244
506.9915256500244,190,0.9252
521.22642827034,195,0.9324
534.55419921875,200,0.9304
545.6367430686951,205,0.9302
559.444197177887,210,0.9276
574.4940214157104,215,0.9277
589.0962371826172,220,0.9295
601.7229115962982,225,0.9265
612.9886932373047,230,0.93
627.1251406669617,235,0.9286
642.2726347446442,240,0.9313
656.9381155967712,245,0.9279
669.354504108429,250,0.9332
680.3487663269043,255,0.9303
694.699944972992,260,0.9321
709.5512857437134,265,0.9314
724.3308384418488,270,0.9312
736.5372507572174,275,0.9299
747.7204148769379,280,0.9304
762.2779898643494,285,0.9321
776.5023624897003,290,0.9284
789.5859289169312,295,0.9341
800.4728465080261,300,0.9333
811.3803663253784,305,0.929
824.4650757312775,310,0.9329
838.1278364658356,315,0.9332
851.7416560649872,320,0.9278
862.9145975112915,325,0.9271
873.8893258571625,330,0.9318
886.4506394863129,335,0.9301
900.3209919929504,340,0.9337
914.3559403419495,345,0.9311
925.642005443573,350,0.9348
936.4783132076263,355,0.9329
949.4808332920074,360,0.9324
963.4640142917633,365,0.9377
976.7676920890808,370,0.9303
987.960839509964,375,0.9321
998.795116186142,380,0.9334
1010.7508554458618,385,0.9259
1024.6381630897522,390,0.9337
1038.2141242027283,395,0.9294
1050.165533542633,400,0.9325
1060.947278022766,405,0.9297
1071.9598944187164,410,0.9351
1085.2938137054443,415,0.9315
1099.228190422058,420,0.9329
1112.0430006980896,425,0.9317
1123.405520915985,430,0.9295
1134.5214257240295,435,0.9298
1148.1158180236816,440,0.9331
1162.0838487148285,445,0.9318
1174.6717791557312,450,0.9344
1186.0085122585297,455,0.9326
1196.4492440223694,460,0.9344
1209.005742073059,465,0.9291
1222.7094550132751,470,0.9275
1236.4046485424042,475,0.9359
1247.7912864685059,480,0.9365
1258.6577427387238,485,0.934
1270.106528043747,490,0.9305
1283.7490475177765,495,0.9288
1297.2453849315643,500,0.9303
1309.8352546691895,505,0.9321
1320.903699874878,510,0.9315
1331.8924505710602,515,0.9339
1345.3368983268738,520,0.9299
1359.274337530136,525,0.9337
1372.0322315692902,530,0.9349
1383.1799194812775,535,0.9303
1394.3456349372864,540,0.9269
1407.9059462547302,545,0.9386
1421.813758134842,550,0.9349
1434.7741463184357,555,0.9322
1446.062656879425,560,0.9345
1456.8751125335693,565,0.9318
1469.3067343235016,570,0.9334
1482.9930727481842,575,0.934
1496.938188791275,580,0.9299
1508.3079307079315,585,0.933
1519.2380242347717,590,0.9303
1530.4012656211853,595,0.9316
1544.3427312374115,600,0.9338
1558.0046927928925,605,0.9358
1570.370885848999,610,0.934
1581.7771711349487,615,0.9314
1593.2695825099945,620,0.9318
1607.1686534881592,625,0.9279
1620.925768852234,630,0.9333
1633.190871477127,635,0.9383
1644.2613987922668,640,0.9335
1655.0623228549957,645,0.9323
1668.3317620754242,650,0.9317
1682.0807173252106,655,0.9386
1695.2328853607178,660,0.9304
1706.951992034912,665,0.9351
1718.2448818683624,670,0.934
1730.509682416916,675,0.9324
1744.3965194225311,680,0.9348
1758.4167728424072,685,0.938
1769.8698189258575,690,0.9376
1781.177363872528,695,0.936
1793.4570276737213,700,0.9361
1807.4826502799988,705,0.9327
1821.139886856079,710,0.9314
1832.5025866031647,715,0.9346
1843.6289947032928,720,0.9325
1854.8926301002502,725,0.935
1868.671186208725,730,0.9347
1882.0408074855804,735,0.9342
1894.769896030426,740,0.9337
1906.0637021064758,745,0.933
1917.3112354278564,750,0.9374
1931.2650179862976,755,0.9374
1945.2385942935944,760,0.9375
1958.175190448761,765,0.9379
